pitcher,events,home_team,away_team,pitch_name,release_speed,launch_speed,launch_angle,hit_distance_sc,bb_type
573009,field_out,AZ,LAD,Sinker,88.3,107.7,-5.0,21.0,ground_ball
668678,strikeout,AZ,LAD,Knuckle Curve,81.0,,,,
668678,hit_by_pitch,AZ,LAD,4-Seam Fastball,94.6,,,,
623149,home_run,AZ,LAD,4-Seam Fastball,93.0,99.0,32.0,380.0,fly_ball
573009,strikeout,AZ,LAD,Curveball,78.6,,,,
668678,double,AZ,LAD,4-Seam Fastball,94.3,114.0,15.0,300.0,line_drive
700249,field_out,LAD,BAL,Sweeper,79.6,85.8,39.0,293.0,fly_ball
700249,strikeout,LAD,BAL,Sinker,91.2,,,,
621199,field_out,LAD,BAL,Cutter,90.6,104.7,39.0,348.0,fly_ball
642397,field_out,LAD,BAL,Sinker,94.0,101.2,53.0,263.0,fly_ball
700249,field_out,LAD,BAL,Sweeper,82.2,104.6,19.0,375.0,line_drive
669203,force_out,LAD,BAL,Cutter,93.7,108.0,6.0,118.0,line_drive
669203,single,LAD,BAL,Changeup,89.2,99.9,13.0,198.0,line_drive
642397,strikeout,LAD,BAL,Sinker,96.2,,,,
669203,home_run,LAD,BAL,Slider,87.4,102.2,33.0,391.0,fly_ball
608344,field_out,LAD,BAL,Curveball,78.7,84.3,76.0,42.0,popup
608344,single,LAD,BAL,Sinker,92.2,99.4,-12.0,10.0,ground_ball
672335,strikeout,LAD,BAL,Sinker,95.3,,,,
608344,single,LAD,BAL,Sinker,90.1,85.9,23.0,281.0,line_drive
682052,field_out,LAD,TB,4-Seam Fastball,90.6,107.2,14.0,310.0,line_drive
682052,strikeout,LAD,TB,Slider,78.6,,,,
663992,hit_by_pitch,LAD,TB,Sinker,91.8,,,,
682052,field_out,LAD,TB,4-Seam Fastball,91.0,97.9,33.0,360.0,fly_ball
671737,home_run,LAD,TB,Split-Finger,92.2,96.7,32.0,338.0,fly_ball
671737,catcher_interf,LAD,TB,4-Seam Fastball,98.9,,,,
669270,field_out,LAD,TB,4-Seam Fastball,94.6,93.4,43.0,304.0,fly_ball
671737,single,LAD,TB,Split-Finger,92.2,96.3,14.0,198.0,line_drive
664076,field_out,LAD,TB,Sweeper,79.6,99.4,42.0,350.0,fly_ball
641302,single,LAD,TB,Sinker,89.3,57.6,-3.0,24.0,ground_ball
621363,home_run,LAD,TB,Slider,84.3,105.1,35.0,389.0,fly_ball
641302,field_out,LAD,TB,Sinker,90.2,92.1,9.0,126.0,line_drive
664076,field_out,LAD,TB,Sinker,97.1,81.4,-24.0,5.0,ground_ball
663992,field_out,LAD,TB,Sinker,92.6,111.8,-2.0,38.0,ground_ball
669302,single,LAD,SEA,Cutter,94.2,97.8,17.0,266.0,line_drive
669302,walk,LAD,SEA,Curveball,84.0,,,,
663423,field_out,LAD,SEA,Slider,85.7,79.4,54.0,199.0,fly_ball
700187,field_out,LAD,SEA,Sweeper,84.4,89.7,-10.0,6.0,ground_ball
669302,strikeout,LAD,SEA,Slider,92.5,,,,
682243,field_out,LAD,SEA,Cutter,91.3,81.7,-15.0,11.0,ground_ball
682243,triple,LAD,SEA,Split-Finger,87.1,109.8,13.0,275.0,line_drive
682243,strikeout,LAD,SEA,Split-Finger,85.5,,,,
608723,single,LAD,SEA,Cutter,89.8,115.5,19.0,364.0,line_drive
662253,field_out,LAD,SEA,Slider,86.5,100.1,9.0,154.0,line_drive
693433,field_out,LAD,SEA,Changeup,89.3,83.5,7.0,88.0,ground_ball
693433,field_out,LAD,SEA,4-Seam Fastball,94.9,89.2,50.0,258.0,fly_ball
642048,walk,LAD,SEA,Sinker,91.0,,,,
693433,single,LAD,SEA,Sinker,95.1,75.9,2.0,65.0,ground_ball
543243,home_run,STL,LAD,Curveball,79.7,113.5,22.0,396.0,fly_ball
543243,field_out,STL,LAD,Cutter,89.5,85.1,63.0,196.0,popup
669461,strikeout,STL,LAD,Sinker,96.6,,,,
543243,strikeout,STL,LAD,Sweeper,84.2,,,,
667463,field_out,STL,LAD,Sinker,94.5,103.0,-6.0,18.0,ground_ball
669467,home_run,STL,LAD,Knuckle Curve,80.3,111.9,21.0,384.0,line_drive
669467,strikeout,STL,LAD,Knuckle Curve,81.0,,,,
668941,field_out,STL,LAD,Slider,85.2,82.4,46.0,241.0,fly_ball
669467,walk,STL,LAD,4-Seam Fastball,94.9,,,,
571945,field_out,STL,LAD,Changeup,86.6,82.5,49.0,255.0,fly_ball
571945,field_out,STL,LAD,Slider,89.3,106.8,9.0,161.0,line_drive
571945,strikeout,STL,LAD,Slider,87.2,,,,
668941,strikeout,STL,LAD,Slider,85.3,,,,
669461,field_out,STL,LAD,Sinker,95.4,84.9,2.0,59.0,ground_ball
668964,single,MIL,LAD,Cutter,89.7,108.6,2.0,71.0,ground_ball
668964,field_out,MIL,LAD,Cutter,89.9,93.9,-30.0,3.0,ground_ball
642207,strikeout,MIL,LAD,4-Seam Fastball,95.8,,,,
668964,field_out,MIL,LAD,Cutter,89.1,98.3,57.0,241.0,fly_ball
665625,field_out,MIL,LAD,Sinker,96.1,85.6,25.0,314.0,line_drive
593423,field_out,MIL,LAD,4-Seam Fastball,96.9,101.3,20.0,320.0,line_drive
593423,walk,MIL,LAD,Cutter,91.5,,,,
593423,field_error,MIL,LAD,4-Seam Fastball,97.5,101.0,-1.0,40.0,ground_ball
657649,strikeout,MIL,LAD,Sinker,96.7,,,,
642207,field_out,MIL,LAD,4-Seam Fastball,95.1,95.5,47.0,292.0,fly_ball
607067,field_out,MIL,LAD,Sinker,91.5,92.1,-26.0,4.0,ground_ball
607067,strikeout,MIL,LAD,Sweeper,81.6,,,,
607067,home_run,MIL,LAD,Split-Finger,88.2,109.3,24.0,413.0,fly_ball
683232,strikeout,MIL,LAD,4-Seam Fastball,97.1,,,,
607067,field_out,MIL,LAD,Sinker,91.7,104.9,48.0,300.0,fly_ball
642547,home_run,MIL,LAD,4-Seam Fastball,93.2,107.0,36.0,424.0,fly_ball
642547,field_out,MIL,LAD,4-Seam Fastball,96.1,31.7,31.0,60.0,ground_ball
663542,walk,MIL,LAD,Sweeper,82.0,,,,
642547,field_out,MIL,LAD,4-Seam Fastball,92.9,93.0,25.0,348.0,line_drive
663559,field_out,LAD,PIT,Sinker,93.9,86.7,3.0,63.0,ground_ball
663559,field_out,LAD,PIT,Sinker,93.0,76.2,32.0,276.0,fly_ball
670280,field_out,LAD,PIT,4-Seam Fastball,97.9,75.1,58.0,174.0,popup
